datetime;day;hour;close_current;open_current;move_down;move_up;percent;percent_10;in_1;in_2;in_3;in_4;in_5;in_6;in_7;in_8;in_9;in_10;in_11;in_12;in_13;in_14;in_15;in_16;in_17;in_18;in_19;in_20;in_21;in_22;in_23;in_24;in_25;in_26;in_27;in_28;in_29;in_30;in_31;in_32;in_33;in_34;in_35;in_36;in_37;in_38;in_39;in_40;in_41;in_42;in_43;in_44;in_45;in_46;in_47;in_48;in_49;in_50;in_51;in_52;in_53;in_54;in_55;in_56;in_57;in_58;in_59;in_60;in_61;in_62;in_63;in_64;in_65;in_66;in_67;in_68;in_69;in_70;in_71;in_72;in_73;in_74;in_75;in_76;in_77;in_78;in_79;in_80;in_81;in_82;in_83;in_84;in_85;in_86;in_87;in_88;in_89;in_90;in_91;in_92;in_93;in_94;in_95;in_96;in_97;in_98;in_99;in_100;in_101;in_102;in_103;in_104;in_105;in_106;in_107;in_108;in_109;in_110;in_111;in_112;in_113;in_114;in_115;in_116;in_117;in_118;in_119;in_120;in_121;in_122;in_123;in_124;in_125;in_126;in_127;in_128;in_129;in_130;in_131;in_132;in_133;in_134;in_135;in_136;in_137;in_138;in_139;in_140;in_141;in_142;in_143;in_144;in_145;in_146;in_147;in_148;in_149;in_150;in_151;in_152;in_153;in_154;in_155;in_156;in_157;in_158;in_159;in_160;in_161;in_162;in_163;in_164;in_165;in_166;in_167;in_168;in_169;in_170
2018.01.01 00:00;1;0;8.4500;8.5480;0.0875;0.0178;-0.0115;-0.0115;0.01;0.71;0.14;0.04;0.03;54.12;-0.01;0.54;0;0;0.27;0;0;0;0;0;0;0.04;0.07;0.03;0.00;0.02;53.58;-0.06;3.08;0;0;0.18;0;0;0;0;0;0;-0.01;0.61;0.29;0.00;0.05;50.51;0.01;-0.45;0;0;-0.46;0;0;0;0;0;0;0.04;0.33;0.30;0.01;0.01;50.95;-0.06;3.00;0;0;-0.45;0;0;0;0;0;0;-0.05;0.13;0.39;-0.03;0.01;47.95;0.07;-3.76;0;0;-1.00;0;0;0;0;0;0;0.13;0.21;0.05;0.01;0.08;66.36;-0.06;3.73;0;0;1.24;0;0;1;0;0;0;-0.13;0.02;0.37;-0.11;-0.17;62.62;0.12;-8.76;0;0;0.96;0;0;0;0;0;0;-0.06;0.37;0.23;-0.04;0.08;71.39;0.06;-4.81;1;0;1.53;0;0;1;0;0;0;-0.08;0.07;0.59;-0.09;-0.06;76.19;0.10;-8.01;1;0;1.95;0;0;1;0;0;0;0.08;0.40;0.34;0.05;0.30;84.21;-0.02;1.70;1;0;2.65;0;1;0;0;0;0;
2018.01.02 00:00;2;0;8.7150;8.4500;0.0424;0.0785;0.0314;0.0314;0.04;0.00;0.12;0.03;0.01;53.63;-0.09;4.56;0;0;0.55;0;0;0;0;0;0;-0.00;0.28;0.71;-0.02;0.02;49.07;-0.00;0.07;0;0;-0.36;0;0;0;0;0;0;-0.01;0.28;0.58;-0.02;-0.03;49.00;0.01;-0.63;0;0;-0.45;0;0;0;0;0;0;-0.03;0.32;0.20;-0.02;-0.03;49.63;0.05;-2.48;0;0;-0.42;0;0;0;0;0;0;-0.00;0.94;0.05;0.02;0.03;52.11;-0.00;0.22;0;0;-0.07;0;0;0;0;0;0;-0.01;0.17;0.72;-0.01;0.04;65.75;0.01;-0.61;0;0;1.11;0;0;1;0;0;0;0.13;0.21;0.05;0.01;0.08;66.36;-0.06;3.73;0;0;1.24;0;0;1;0;0;0;-0.13;0.02;0.37;-0.11;-0.17;62.62;0.12;-8.76;0;0;0.96;0;0;0;0;0;0;-0.06;0.37;0.23;-0.04;0.08;71.39;0.06;-4.81;1;0;1.53;0;0;1;0;0;0;-0.08;0.07;0.59;-0.09;-0.06;76.19;0.10;-8.01;1;0;1.95;0;0;1;0;0;0;
2018.01.03 00:00;3;0;9.3040;8.7150;0.0516;0.0866;0.0676;0.0676;-0.02;0.28;0.51;0.02;0.01;56.47;0.05;-3.26;0;0;1.39;0;0;1;0;0;0;0.04;0.01;0.50;0.02;-0.02;59.73;-0.08;4.47;0;0;2.05;0;1;0;0;0;0;0.01;0.57;0.05;0.02;0.02;55.26;-0.04;2.10;0;0;1.31;0;0;1;0;0;0;0.01;0.46;0.09;0.01;0.02;53.16;-0.03;1.71;0;0;0.80;0;0;0;0;0;0;-0.01;0.10;0.64;-0.03;-0.03;51.45;0.03;-1.40;0;0;0.33;0;0;0;0;0;0;0.03;0.39;0.35;0.05;0.04;66.83;-0.02;1.08;0;0;1.13;0;0;1;0;0;0;-0.01;0.17;0.72;-0.01;0.04;65.75;0.01;-0.61;0;0;1.11;0;0;1;0;0;0;0.13;0.21;0.05;0.01;0.08;66.36;-0.06;3.73;0;0;1.24;0;0;1;0;0;0;-0.13;0.02;0.37;-0.11;-0.17;62.62;0.12;-8.76;0;0;0.96;0;0;0;0;0;0;-0.06;0.37;0.23;-0.04;0.08;71.39;0.06;-4.81;1;0;1.53;0;0;1;0;0;0;
2018.01.04 00:00;4;0;9.1430;9.3040;0.0800;0.0373;-0.0173;-0.0173;0.06;0.23;0.07;0.06;0.02;65.38;-0.13;7.47;0;0;2.89;0;1;0;0;0;0;0.02;0.40;0.06;0.01;0.01;57.91;-0.06;3.31;0;0;1.51;0;0;1;0;0;0;0.00;0.65;0.28;0.02;0.03;54.60;-0.01;0.42;0;0;0.92;0;0;0;0;0;0;-0.00;0.17;0.79;-0.02;-0.03;54.18;0.01;-0.43;0;0;0.84;0;0;0;0;0;0;-0.01;0.52;0.22;-0.00;0.01;54.61;0.03;-1.46;0;0;0.98;0;0;0;0;0;0;0.07;0.14;0.37;0.04;0.02;69.16;-0.03;2.33;0;0;1.29;0;0;1;0;0;0;0.03;0.39;0.35;0.05;0.04;66.83;-0.02;1.08;0;0;1.13;0;0;1;0;0;0;-0.01;0.17;0.72;-0.01;0.04;65.75;0.01;-0.61;0;0;1.11;0;0;1;0;0;0;0.13;0.21;0.05;0.01;0.08;66.36;-0.06;3.73;0;0;1.24;0;0;1;0;0;0;-0.13;0.02;0.37;-0.11;-0.17;62.62;0.12;-8.76;0;0;0.96;0;0;0;0;0;0;
2018.01.05 00:00;5;0;14.8910;9.1350;0.0186;0.8409;0.6301;0.6301;0.00;0.58;0.38;-0.00;0.01;60.45;-0.02;1.20;0;0;1.28;0;0;1;0;0;0;0.01;0.58;0.24;-0.03;0.01;59.25;-0.03;1.75;0;0;1.22;0;0;1;0;0;0;0.00;0.74;0.23;0.05;0.00;57.50;-0.01;0.46;0;0;1.05;0;0;1;0;0;0;-0.01;0.24;0.47;-0.00;-0.02;57.04;0.05;-3.14;0;0;1.06;0;0;1;0;0;0;-0.01;0.10;0.56;-0.02;0.04;60.18;0.05;-3.50;0;0;1.58;0;0;1;0;0;0;-0.02;0.32;0.53;0.02;0.04;67.76;0.02;-1.40;0;0;1.13;0;0;1;0;0;0;0.07;0.14;0.37;0.04;0.02;69.16;-0.03;2.33;0;0;1.29;0;0;1;0;0;0;0.03;0.39;0.35;0.05;0.04;66.83;-0.02;1.08;0;0;1.13;0;0;1;0;0;0;-0.01;0.17;0.72;-0.01;0.04;65.75;0.01;-0.61;0;0;1.11;0;0;1;0;0;0;0.13;0.21;0.05;0.01;0.08;66.36;-0.06;3.73;0;0;1.24;0;0;1;0;0;0;
2018.01.06 00:00;6;0;22.6000;14.8910;0.0128;0.5848;0.5177;0.5177;0.08;0.60;0.04;0.19;0.24;90.92;-0.02;2.02;1;0;2.66;0;1;0;0;0;0;0.01;0.12;0.83;-0.05;-0.08;88.90;-0.00;0.35;1;0;2.68;0;1;0;0;0;0;0.07;0.45;0.26;0.17;0.18;88.55;-0.02;1.95;1;0;3.32;1;0;0;0;0;0;0.26;0.00;0.00;0.21;0.10;86.60;-0.18;12.91;1;0;4.10;1;0;0;0;0;0;0.09;0.28;0.10;0.12;0.02;73.68;-0.17;10.47;1;0;3.00;1;0;0;0;0;0;0.63;0.25;0.02;0.74;0.05;81.86;-0.21;14.10;1;0;2.98;0;1;0;0;0;0;-0.02;0.32;0.53;0.02;0.04;67.76;0.02;-1.40;0;0;1.13;0;0;1;0;0;0;0.07;0.14;0.37;0.04;0.02;69.16;-0.03;2.33;0;0;1.29;0;0;1;0;0;0;0.03;0.39;0.35;0.05;0.04;66.83;-0.02;1.08;0;0;1.13;0;0;1;0;0;0;-0.01;0.17;0.72;-0.01;0.04;65.75;0.01;-0.61;0;0;1.11;0;0;1;0;0;0;
2018.01.07 00:00;0;0;18.5940;22.6000;0.2013;0.0027;-0.1773;-0.1773;0.13;0.27;0.02;0.05;0.16;90.29;-0.02;2.14;1;0;2.49;0;1;0;0;0;0;0.13;0.41;0.15;0.14;0.08;88.15;-0.04;3.04;1;0;2.43;0;1;0;0;0;0;0.12;0.46;0.06;0.21;0.08;85.11;-0.04;3.60;1;0;2.24;0;1;0;0;0;0;0.09;0.11;0.08;-0.04;-0.01;81.51;-0.04;3.38;1;0;1.99;0;0;1;0;0;0;-0.07;0.49;0.00;-0.13;0.01;78.13;0.15;-14.24;1;0;1.79;0;0;1;0;0;0;0.52;0.11;0.02;0.40;0.64;88.88;-0.09;7.02;1;0;3.62;1;0;0;0;0;0;0.63;0.25;0.02;0.74;0.05;81.86;-0.21;14.10;1;0;2.98;0;1;0;0;0;0;-0.02;0.32;0.53;0.02;0.04;67.76;0.02;-1.40;0;0;1.13;0;0;1;0;0;0;0.07;0.14;0.37;0.04;0.02;69.16;-0.03;2.33;0;0;1.29;0;0;1;0;0;0;0.03;0.39;0.35;0.05;0.04;66.83;-0.02;1.08;0;0;1.13;0;0;1;0;0;0;
2018.01.08 00:00;1;0;17.9970;18.5380;0.2447;0.0411;-0.0292;-0.0292;0.01;0.73;0.21;-0.01;0.00;61.26;-0.00;0.27;0;0;0.71;0;0;0;0;0;0;-0.08;0.03;0.21;-0.09;-0.08;60.99;0.10;-6.90;0;0;0.76;0;0;0;0;0;0;-0.09;0.04;0.18;-0.01;-0.02;67.89;0.12;-9.56;0;0;1.18;0;0;1;0;0;0;0.10;0.17;0.01;-0.00;0.02;77.45;-0.05;3.61;1;0;1.69;0;0;1;0;0;0;-0.02;0.68;0.15;-0.01;0.03;73.84;0.04;-2.85;1;0;1.46;0;0;1;0;0;0;-0.18;0.01;0.12;-0.04;0.23;73.06;0.18;-15.83;1;0;2.20;0;1;0;0;0;0;0.52;0.11;0.02;0.40;0.64;88.88;-0.09;7.02;1;0;3.62;1;0;0;0;0;0;0.63;0.25;0.02;0.74;0.05;81.86;-0.21;14.10;1;0;2.98;0;1;0;0;0;0;-0.02;0.32;0.53;0.02;0.04;67.76;0.02;-1.40;0;0;1.13;0;0;1;0;0;0;0.07;0.14;0.37;0.04;0.02;69.16;-0.03;2.33;0;0;1.29;0;0;1;0;0;0;
2018.01.09 00:00;2;0;17.3990;18.0400;0.0890;0.1425;-0.0355;-0.0355;-0.06;0.09;0.42;0.02;0.04;55.97;0.07;-3.96;0;0;0.12;0;0;0;0;0;0;0.16;0.00;0.00;0.05;0.17;59.94;-0.15;7.93;0;0;0.55;0;0;0;0;0;0;-0.08;0.06;0.61;-0.01;-0.15;52.01;0.10;-6.06;0;0;-0.12;0;0;0;0;0;0;0.01;0.15;0.78;-0.03;-0.01;58.07;-0.02;0.98;0;0;0.36;0;0;0;0;0;0;0.01;0.54;0.40;-0.02;-0.04;57.09;-0.01;0.34;0;0;0.36;0;0;0;0;0;0;-0.03;0.14;0.75;-0.15;-0.22;71.03;0.03;-2.03;1;0;1.80;0;0;1;0;0;0;-0.18;0.01;0.12;-0.04;0.23;73.06;0.18;-15.83;1;0;2.20;0;1;0;0;0;0;0.52;0.11;0.02;0.40;0.64;88.88;-0.09;7.02;1;0;3.62;1;0;0;0;0;0;0.63;0.25;0.02;0.74;0.05;81.86;-0.21;14.10;1;0;2.98;0;1;0;0;0;0;-0.02;0.32;0.53;0.02;0.04;67.76;0.02;-1.40;0;0;1.13;0;0;1;0;0;0;
2018.01.10 00:00;3;0;17.5000;17.3990;0.1609;0.0090;0.0058;0.0058;-0.00;0.21;0.79;-0.03;-0.06;51.90;0.00;-0.00;0;0;-0.84;0;0;0;0;0;0;-0.01;0.87;0.00;-0.01;0.04;51.91;0.01;-0.39;0;0;-0.69;0;0;0;0;0;0;-0.05;0.01;0.46;-0.06;-0.03;52.30;0.06;-3.25;0;0;-0.57;0;0;0;0;0;0;-0.04;0.17;0.50;-0.02;-0.05;55.54;0.05;-3.04;0;0;-0.05;0;0;0;0;0;0;-0.02;0.26;0.56;-0.04;0.01;58.59;0.03;-1.63;0;0;0.39;0;0;0;0;0;0;-0.04;0.62;0.23;0.07;0.17;68.96;0.03;-2.07;0;0;1.50;0;0;1;0;0;0;-0.03;0.14;0.75;-0.15;-0.22;71.03;0.03;-2.03;1;0;1.80;0;0;1;0;0;0;-0.18;0.01;0.12;-0.04;0.23;73.06;0.18;-15.83;1;0;2.20;0;1;0;0;0;0;0.52;0.11;0.02;0.40;0.64;88.88;-0.09;7.02;1;0;3.62;1;0;0;0;0;0;0.63;0.25;0.02;0.74;0.05;81.86;-0.21;14.10;1;0;2.98;0;1;0;0;0;0;
2018.01.11 00:00;4;0;21.2020;17.5000;0.2194;0.3205;0.2115;0.2115;0.07;0.00;0.12;0.03;0.01;53.52;-0.12;5.58;0;0;-0.25;0;0;0;0;0;0;0.01;0.74;0.15;0.03;0.07;47.94;-0.01;0.39;0;0;-1.11;0;0;0;0;0;1;-0.01;0.07;0.85;0.00;0.03;47.55;0.01;-0.41;0;0;-1.25;0;0;0;0;0;1;0.05;0.06;0.50;-0.02;-0.06;47.96;-0.08;3.56;0;0;-1.23;0;0;0;0;0;1;-0.05;0.36;0.00;-0.05;-0.04;44.40;0.06;-2.93;0;0;-1.81;0;0;0;0;0;1;0.01;0.02;0.95;-0.15;-0.11;69.12;-0.00;0.16;0;0;1.37;0;0;1;0;0;0;-0.04;0.62;0.23;0.07;0.17;68.96;0.03;-2.07;0;0;1.50;0;0;1;0;0;0;-0.03;0.14;0.75;-0.15;-0.22;71.03;0.03;-2.03;1;0;1.80;0;0;1;0;0;0;-0.18;0.01;0.12;-0.04;0.23;73.06;0.18;-15.83;1;0;2.20;0;1;0;0;0;0;0.52;0.11;0.02;0.40;0.64;88.88;-0.09;7.02;1;0;3.62;1;0;0;0;0;0;
2018.01.12 00:00;5;0;22.2000;21.1020;0.0949;0.1933;0.0520;0.0520;0.04;0.42;0.38;0.13;-0.02;63.80;-0.04;2.36;0;0;2.23;0;1;0;0;0;0;0.07;0.05;0.05;0.05;0.06;61.44;-0.07;3.90;0;0;2.03;0;1;0;0;0;0;-0.01;0.17;0.70;0.02;0.07;57.54;0.02;-0.90;0;0;1.26;0;0;1;0;0;0;0.15;0.00;0.00;0.15;0.22;58.44;-0.16;8.25;0;0;1.48;0;0;1;0;0;0;0.10;0.02;0.47;-0.05;-0.07;50.19;-0.15;6.54;0;0;-0.61;0;0;0;0;0;0;0.21;0.20;0.41;0.32;-0.06;74.44;-0.08;5.31;1;0;1.83;0;0;1;0;0;0;0.01;0.02;0.95;-0.15;-0.11;69.12;-0.00;0.16;0;0;1.37;0;0;1;0;0;0;-0.04;0.62;0.23;0.07;0.17;68.96;0.03;-2.07;0;0;1.50;0;0;1;0;0;0;-0.03;0.14;0.75;-0.15;-0.22;71.03;0.03;-2.03;1;0;1.80;0;0;1;0;0;0;-0.18;0.01;0.12;-0.04;0.23;73.06;0.18;-15.83;1;0;2.20;0;1;0;0;0;0;
2018.01.13 00:00;6;0;22.0250;22.2000;0.0523;0.0586;-0.0079;-0.0079;-0.05;0.00;0.43;-0.01;0.01;58.66;0.07;-4.22;0;0;1.19;0;0;1;0;0;0;0.10;0.11;0.07;0.06;0.03;62.88;-0.09;4.94;0;0;1.73;0;0;1;0;0;0;-0.00;0.50;0.47;-0.05;-0.01;57.93;0.00;-0.21;0;0;1.08;0;0;1;0;0;0;-0.06;0.30;0.23;-0.07;-0.07;58.14;0.07;-4.45;0;0;1.20;0;0;1;0;0;0;-0.09;0.06;0.15;0.01;0.16;62.59;0.13;-9.19;0;0;1.84;0;0;1;0;0;0;0.05;0.49;0.33;0.09;0.40;75.65;-0.02;1.22;1;0;1.77;0;0;1;0;0;0;0.21;0.20;0.41;0.32;-0.06;74.44;-0.08;5.31;1;0;1.83;0;0;1;0;0;0;0.01;0.02;0.95;-0.15;-0.11;69.12;-0.00;0.16;0;0;1.37;0;0;1;0;0;0;-0.04;0.62;0.23;0.07;0.17;68.96;0.03;-2.07;0;0;1.50;0;0;1;0;0;0;-0.03;0.14;0.75;-0.15;-0.22;71.03;0.03;-2.03;1;0;1.80;0;0;1;0;0;0;
2018.01.14 00:00;0;0;20.4540;22.0250;0.1732;0.0034;-0.0713;-0.0713;0.03;0.42;0.08;0.00;-0.00;56.58;-0.03;1.53;0;0;0.64;0;0;0;0;0;0;-0.03;0.09;0.15;-0.05;-0.02;55.05;0.06;-3.28;0;0;0.55;0;0;0;0;0;0;-0.01;0.54;0.29;0.03;0.02;58.34;0.02;-1.03;0;0;0.89;0;0;0;0;0;0;0.04;0.18;0.20;0.03;0.02;59.37;-0.04;2.55;0;0;1.06;0;0;1;0;0;0;-0.02;0.01;0.57;-0.03;-0.03;56.82;0.03;-1.80;0;0;0.84;0;0;0;0;0;0;-0.01;0.53;0.40;-0.07;0.10;74.98;0.01;-0.67;1;0;1.57;0;0;1;0;0;0;0.05;0.49;0.33;0.09;0.40;75.65;-0.02;1.22;1;0;1.77;0;0;1;0;0;0;0.21;0.20;0.41;0.32;-0.06;74.44;-0.08;5.31;1;0;1.83;0;0;1;0;0;0;0.01;0.02;0.95;-0.15;-0.11;69.12;-0.00;0.16;0;0;1.37;0;0;1;0;0;0;-0.04;0.62;0.23;0.07;0.17;68.96;0.03;-2.07;0;0;1.50;0;0;1;0;0;0;
2018.01.15 00:00;1;0;19.3400;20.4550;0.0706;0.1357;-0.0545;-0.0545;0.02;0.41;0.16;0.03;0.09;50.67;-0.04;1.89;0;0;-0.63;0;0;0;0;0;0;0.05;0.15;0.37;-0.00;-0.00;48.78;-0.09;4.17;0;0;-0.70;0;0;0;0;0;0;-0.05;0.23;0.35;-0.04;-0.08;44.61;0.08;-3.72;0;0;-0.93;0;0;0;0;0;0;-0.05;0.20;0.18;-0.01;-0.02;48.33;0.08;-3.94;0;0;-0.41;0;0;0;0;0;0;-0.02;0.00;0.63;-0.03;-0.06;52.27;0.04;-2.15;0;0;0.11;0;0;0;0;0;0;-0.07;0.02;0.58;-0.06;-0.13;69.03;0.08;-5.94;0;0;1.20;0;0;1;0;0;0;-0.01;0.53;0.40;-0.07;0.10;74.98;0.01;-0.67;1;0;1.57;0;0;1;0;0;0;0.05;0.49;0.33;0.09;0.40;75.65;-0.02;1.22;1;0;1.77;0;0;1;0;0;0;0.21;0.20;0.41;0.32;-0.06;74.44;-0.08;5.31;1;0;1.83;0;0;1;0;0;0;0.01;0.02;0.95;-0.15;-0.11;69.12;-0.00;0.16;0;0;1.37;0;0;1;0;0;0;
