datetime;day;hour;close_current;open_current;move_down;move_up;percent;percent_10;in_1;in_2;in_3;in_4;in_5;in_6;in_7;in_8;in_9;in_10;in_11;in_12;in_13;in_14;in_15;in_16;in_17;in_18;in_19;in_20;in_21;in_22;in_23;in_24;in_25;in_26;in_27;in_28;in_29;in_30;in_31;in_32;in_33;in_34;in_35;in_36;in_37;in_38;in_39;in_40;in_41;in_42;in_43;in_44;in_45;in_46;in_47;in_48;in_49;in_50;in_51;in_52;in_53;in_54;in_55;in_56;in_57;in_58;in_59;in_60;in_61;in_62;in_63;in_64;in_65;in_66;in_67;in_68;in_69;in_70;in_71;in_72;in_73;in_74;in_75;in_76;in_77;in_78;in_79;in_80;in_81;in_82;in_83;in_84;in_85;in_86;in_87;in_88;in_89;in_90;in_91;in_92;in_93;in_94;in_95;in_96;in_97;in_98;in_99;in_100;in_101;in_102;in_103;in_104;in_105;in_106;in_107;in_108;in_109;in_110;in_111;in_112;in_113;in_114;in_115;in_116;in_117;in_118;in_119;in_120;in_121;in_122;in_123;in_124;in_125;in_126;in_127;in_128;in_129;in_130;in_131;in_132;in_133;in_134;in_135;in_136;in_137;in_138;in_139;in_140;in_141;in_142;in_143;in_144;in_145;in_146;in_147;in_148;in_149;in_150;in_151;in_152;in_153;in_154;in_155;in_156;in_157;in_158;in_159;in_160;in_161;in_162;in_163;in_164;in_165;in_166;in_167;in_168;in_169;in_170
2018.01.01 00:00;1;0;13380.0000;13715.6500;0.0704;0.0075;-0.0245;-0.0245;-0.00;0.66;0.18;0.00;0.03;50.06;0.01;-0.57;0;0;0.11;0;0;0;0;0;0;0.04;0.30;0.04;0.05;0.03;50.63;-0.11;5.10;0;0;0.19;0;0;0;0;0;0;0.02;0.38;0.16;0.03;0.04;45.53;-0.05;2.13;0;0;-0.64;0;0;0;0;0;0;0.02;0.14;0.57;0.00;-0.00;43.40;-0.04;1.83;0;0;-0.98;0;0;0;0;0;0;-0.01;0.15;0.55;-0.02;0.03;41.57;0.03;-1.10;0;0;-1.31;0;0;0;0;0;1;0.11;0.18;0.10;-0.02;0.03;47.93;-0.15;6.16;0;0;-1.00;0;0;0;0;0;1;-0.13;0.01;0.26;-0.04;-0.15;41.77;0.17;-8.36;0;0;-1.73;0;0;0;0;0;1;0.01;0.53;0.31;-0.04;0.05;50.14;-0.02;0.96;0;0;-0.83;0;0;0;0;0;0;-0.08;0.03;0.43;-0.06;-0.07;49.18;0.12;-6.45;0;0;-1.02;0;0;0;0;0;1;-0.02;0.34;0.55;0.03;0.05;55.63;0.02;-1.24;0;0;-0.25;0;0;0;0;0;0;
2018.01.02 00:00;2;0;14675.1100;13382.1600;0.0368;0.1563;0.0966;0.0966;0.01;0.58;0.00;0.02;0.02;47.61;-0.04;1.71;0;0;-0.08;0;0;0;0;0;0;-0.00;0.12;0.86;-0.00;0.01;45.91;0.00;-0.07;0;0;-0.37;0;0;0;0;0;0;0.00;0.14;0.81;-0.03;-0.02;45.97;-0.01;0.29;0;0;-0.43;0;0;0;0;0;0;-0.03;0.23;0.30;-0.01;-0.02;45.69;0.07;-3.21;0;0;-0.52;0;0;0;0;0;0;0.01;0.50;0.23;0.01;0.01;48.90;-0.03;1.58;0;0;-0.05;0;0;0;0;0;0;-0.02;0.10;0.59;-0.02;0.05;46.53;0.03;-1.40;0;0;-1.11;0;0;0;0;0;1;0.11;0.18;0.10;-0.02;0.03;47.93;-0.15;6.16;0;0;-1.00;0;0;0;0;0;1;-0.13;0.01;0.26;-0.04;-0.15;41.77;0.17;-8.36;0;0;-1.73;0;0;0;0;0;1;0.01;0.53;0.31;-0.04;0.05;50.14;-0.02;0.96;0;0;-0.83;0;0;0;0;0;0;-0.08;0.03;0.43;-0.06;-0.07;49.18;0.12;-6.45;0;0;-1.02;0;0;0;0;0;1;
2018.01.03 00:00;3;0;14919.5100;14690.0000;0.0368;0.0420;0.0156;0.0156;-0.00;0.73;0.21;-0.02;0.08;62.43;0.01;-0.87;0;0;2.37;0;1;0;0;0;0;0.08;0.38;0.09;0.11;0.00;63.30;-0.22;11.26;0;0;2.96;0;1;0;0;0;0;0.01;0.46;0.09;0.02;0.01;52.04;-0.06;2.77;0;0;1.20;0;0;1;0;0;0;0.01;0.40;0.13;0.01;0.03;49.26;-0.04;2.08;0;0;0.50;0;0;0;0;0;0;-0.00;0.22;0.77;-0.03;-0.03;47.18;0.00;-0.13;0;0;0.03;0;0;0;0;0;0;0.10;0.31;0.19;0.12;0.01;52.30;-0.12;5.76;0;0;-0.40;0;0;0;0;0;0;-0.02;0.10;0.59;-0.02;0.05;46.53;0.03;-1.40;0;0;-1.11;0;0;0;0;0;1;0.11;0.18;0.10;-0.02;0.03;47.93;-0.15;6.16;0;0;-1.00;0;0;0;0;0;1;-0.13;0.01;0.26;-0.04;-0.15;41.77;0.17;-8.36;0;0;-1.73;0;0;0;0;0;1;0.01;0.53;0.31;-0.04;0.05;50.14;-0.02;0.96;0;0;-0.83;0;0;0;0;0;0;
2018.01.04 00:00;4;0;15059.5400;14919.5100;0.0671;0.0242;0.0094;0.0094;0.01;0.23;0.06;-0.01;0.00;60.11;-0.04;2.21;0;0;1.37;0;0;1;0;0;0;-0.02;0.19;0.06;0.01;0.02;57.90;0.08;-4.91;0;0;1.20;0;0;1;0;0;0;0.02;0.02;0.56;-0.01;0.02;62.81;-0.05;2.87;0;0;1.77;0;0;1;0;0;0;-0.03;0.00;0.57;-0.01;-0.04;59.94;0.10;-6.94;0;0;1.53;0;0;1;0;0;0;0.02;0.27;0.02;0.00;0.01;66.88;-0.05;3.11;0;0;2.36;0;1;0;0;0;0;0.02;0.34;0.47;-0.01;0.10;53.32;-0.02;1.02;0;0;-0.25;0;0;0;0;0;0;0.10;0.31;0.19;0.12;0.01;52.30;-0.12;5.76;0;0;-0.40;0;0;0;0;0;0;-0.02;0.10;0.59;-0.02;0.05;46.53;0.03;-1.40;0;0;-1.11;0;0;0;0;0;1;0.11;0.18;0.10;-0.02;0.03;47.93;-0.15;6.16;0;0;-1.00;0;0;0;0;0;1;-0.13;0.01;0.26;-0.04;-0.15;41.77;0.17;-8.36;0;0;-1.73;0;0;0;0;0;1;
2018.01.05 00:00;5;0;16960.3900;15059.5600;0.0305;0.1406;0.1262;0.1262;0.01;0.08;0.61;0.01;0.03;59.09;-0.03;1.71;0;0;1.06;0;0;1;0;0;0;0.04;0.12;0.17;0.02;0.00;57.38;-0.12;6.27;0;0;0.93;0;0;0;0;0;0;-0.01;0.24;0.36;-0.01;0.02;51.11;0.05;-2.52;0;0;0.27;0;0;0;0;0;0;-0.01;0.07;0.71;-0.02;-0.05;53.64;0.05;-2.88;0;0;0.56;0;0;0;0;0;0;-0.02;0.00;0.14;-0.01;0.00;56.52;0.09;-5.54;0;0;0.90;0;0;0;0;0;0;0.01;0.16;0.74;-0.00;-0.02;53.93;-0.01;0.61;0;0;-0.15;0;0;0;0;0;0;0.02;0.34;0.47;-0.01;0.10;53.32;-0.02;1.02;0;0;-0.25;0;0;0;0;0;0;0.10;0.31;0.19;0.12;0.01;52.30;-0.12;5.76;0;0;-0.40;0;0;0;0;0;0;-0.02;0.10;0.59;-0.02;0.05;46.53;0.03;-1.40;0;0;-1.11;0;0;0;0;0;1;0.11;0.18;0.10;-0.02;0.03;47.93;-0.15;6.16;0;0;-1.00;0;0;0;0;0;1;
2018.01.06 00:00;6;0;17069.7900;16960.3900;0.0560;0.0108;0.0065;0.0065;0.02;0.26;0.29;0.00;0.02;73.89;-0.03;2.32;1;0;2.45;0;1;0;0;0;0;0.03;0.51;0.01;0.05;0.02;71.57;-0.05;3.64;1;0;2.33;0;1;0;0;0;0;-0.00;0.34;0.65;-0.01;0.06;67.93;0.00;-0.05;0;0;1.96;0;0;1;0;0;0;0.08;0.18;0.03;0.08;0.02;67.97;-0.19;11.03;0;0;2.19;0;1;0;0;0;0;-0.00;0.23;0.66;-0.01;-0.00;56.95;0.01;-0.71;0;0;0.71;0;0;0;0;0;0;0.13;0.08;0.18;0.12;0.05;61.31;-0.14;7.38;0;0;0.81;0;0;0;0;0;0;0.01;0.16;0.74;-0.00;-0.02;53.93;-0.01;0.61;0;0;-0.15;0;0;0;0;0;0;0.02;0.34;0.47;-0.01;0.10;53.32;-0.02;1.02;0;0;-0.25;0;0;0;0;0;0;0.10;0.31;0.19;0.12;0.01;52.30;-0.12;5.76;0;0;-0.40;0;0;0;0;0;0;-0.02;0.10;0.59;-0.02;0.05;46.53;0.03;-1.40;0;0;-1.11;0;0;0;0;0;1;
2018.01.07 00:00;0;0;16150.0300;17069.7900;0.0855;0.0018;-0.0539;-0.0539;0.02;0.14;0.30;0.01;0.01;71.54;-0.04;2.49;1;0;1.60;0;0;1;0;0;0;0.01;0.44;0.10;0.02;0.03;69.05;-0.03;1.91;0;0;1.45;0;0;1;0;0;0;0.00;0.13;0.79;-0.01;-0.02;67.14;-0.00;0.23;0;0;1.36;0;0;1;0;0;0;0.00;0.54;0.39;0.00;0.00;66.91;-0.00;0.10;0;0;1.47;0;0;1;0;0;0;-0.00;0.51;0.48;-0.02;0.00;66.81;0.00;-0.06;0;0;1.62;0;0;1;0;0;0;0.01;0.06;0.84;-0.00;0.10;61.69;-0.01;0.38;0;0;0.89;0;0;0;0;0;0;0.13;0.08;0.18;0.12;0.05;61.31;-0.14;7.38;0;0;0.81;0;0;0;0;0;0;0.01;0.16;0.74;-0.00;-0.02;53.93;-0.01;0.61;0;0;-0.15;0;0;0;0;0;0;0.02;0.34;0.47;-0.01;0.10;53.32;-0.02;1.02;0;0;-0.25;0;0;0;0;0;0;0.10;0.31;0.19;0.12;0.01;52.30;-0.12;5.76;0;0;-0.40;0;0;0;0;0;0;
2018.01.08 00:00;1;0;14902.5400;16218.8500;0.2101;0.0064;-0.0812;-0.0812;0.00;0.56;0.36;0.00;0.02;54.38;-0.01;0.70;0;0;0.11;0;0;0;0;0;0;-0.02;0.04;0.57;-0.01;-0.04;53.67;0.10;-5.88;0;0;0.13;0;0;0;0;0;0;-0.01;0.11;0.40;-0.01;-0.02;59.55;0.05;-3.15;0;0;0.56;0;0;0;0;0;0;-0.01;0.43;0.14;0.01;0.01;62.70;0.04;-2.69;0;0;0.81;0;0;0;0;0;0;0.00;0.01;0.94;-0.02;-0.01;65.38;-0.00;0.06;0;0;1.04;0;0;1;0;0;0;-0.05;0.02;0.36;-0.00;-0.03;56.65;0.08;-5.04;0;0;0.53;0;0;0;0;0;0;0.01;0.06;0.84;-0.00;0.10;61.69;-0.01;0.38;0;0;0.89;0;0;0;0;0;0;0.13;0.08;0.18;0.12;0.05;61.31;-0.14;7.38;0;0;0.81;0;0;0;0;0;0;0.01;0.16;0.74;-0.00;-0.02;53.93;-0.01;0.61;0;0;-0.15;0;0;0;0;0;0;0.02;0.34;0.47;-0.01;0.10;53.32;-0.02;1.02;0;0;-0.25;0;0;0;0;0;0;
2018.01.09 00:00;2;0;14400.0000;14902.5400;0.0598;0.0401;-0.0337;-0.0337;-0.02;0.08;0.58;0.00;0.01;42.13;0.06;-2.63;0;0;-1.85;0;0;0;0;0;1;0.06;0.05;0.06;-0.02;0.11;44.76;-0.36;11.88;0;0;-1.42;0;0;0;0;0;1;-0.07;0.03;0.55;-0.02;-0.12;32.88;0.24;-10.67;0;0;-2.65;0;0;0;0;1;0;-0.03;0.00;0.64;-0.00;-0.06;43.55;0.13;-6.36;0;0;-1.28;0;0;0;0;0;1;0.01;0.13;0.35;-0.02;-0.00;49.90;-0.06;3.01;0;0;-0.47;0;0;0;0;0;0;-0.08;0.03;0.60;-0.05;-0.18;50.60;0.11;-6.04;0;0;-0.09;0;0;0;0;0;0;-0.05;0.02;0.36;-0.00;-0.03;56.65;0.08;-5.04;0;0;0.53;0;0;0;0;0;0;0.01;0.06;0.84;-0.00;0.10;61.69;-0.01;0.38;0;0;0.89;0;0;0;0;0;0;0.13;0.08;0.18;0.12;0.05;61.31;-0.14;7.38;0;0;0.81;0;0;0;0;0;0;0.01;0.16;0.74;-0.00;-0.02;53.93;-0.01;0.61;0;0;-0.15;0;0;0;0;0;0;
2018.01.10 00:00;3;0;14907.0900;14401.0000;0.0882;0.0385;0.0351;0.0351;-0.02;0.20;0.37;-0.01;-0.03;38.28;0.08;-3.11;0;0;-1.52;0;0;0;0;0;1;0.00;0.68;0.17;0.01;0.04;41.39;-0.02;0.89;0;0;-1.31;0;0;0;0;0;1;-0.00;0.13;0.79;-0.03;-0.01;40.50;0.02;-0.65;0;0;-1.53;0;0;0;0;0;1;-0.02;0.21;0.49;-0.01;-0.03;41.15;0.07;-3.14;0;0;-1.61;0;0;0;0;0;1;-0.01;0.26;0.58;-0.01;-0.01;44.30;0.03;-1.42;0;0;-1.36;0;0;0;0;0;1;-0.03;0.40;0.26;-0.05;0.09;48.37;0.04;-2.24;0;0;-0.33;0;0;0;0;0;0;-0.08;0.03;0.60;-0.05;-0.18;50.60;0.11;-6.04;0;0;-0.09;0;0;0;0;0;0;-0.05;0.02;0.36;-0.00;-0.03;56.65;0.08;-5.04;0;0;0.53;0;0;0;0;0;0;0.01;0.06;0.84;-0.00;0.10;61.69;-0.01;0.38;0;0;0.89;0;0;0;0;0;0;0.13;0.08;0.18;0.12;0.05;61.31;-0.14;7.38;0;0;0.81;0;0;0;0;0;0;
