datetime;day;hour;close_current;open_current;move_down;move_up;percent;percent_10;in_1;in_2;in_3;in_4;in_5;in_6;in_7;in_8;in_9;in_10;in_11;in_12;in_13;in_14;in_15;in_16;in_17;in_18;in_19;in_20;in_21;in_22;in_23;in_24;in_25;in_26;in_27;in_28;in_29;in_30;in_31;in_32;in_33;in_34;in_35;in_36;in_37;in_38;in_39;in_40;in_41;in_42;in_43;in_44;in_45;in_46;in_47;in_48;in_49;in_50;in_51;in_52;in_53;in_54;in_55;in_56;in_57;in_58;in_59;in_60;in_61;in_62;in_63;in_64;in_65;in_66;in_67;in_68;in_69;in_70;in_71;in_72;in_73;in_74;in_75;in_76;in_77;in_78;in_79;in_80;in_81;in_82;in_83;in_84;in_85;in_86;in_87;in_88;in_89;in_90;in_91;in_92;in_93;in_94;in_95;in_96;in_97;in_98;in_99;in_100;in_101;in_102;in_103;in_104;in_105;in_106;in_107;in_108;in_109;in_110;in_111;in_112;in_113;in_114;in_115;in_116;in_117;in_118;in_119;in_120;in_121;in_122;in_123;in_124;in_125;in_126;in_127;in_128;in_129;in_130;in_131;in_132;in_133;in_134;in_135;in_136;in_137;in_138;in_139;in_140;in_141;in_142;in_143;in_144;in_145;in_146;in_147;in_148;in_149;in_150;in_151;in_152;in_153;in_154;in_155;in_156;in_157;in_158;in_159;in_160;in_161;in_162;in_163;in_164;in_165;in_166;in_167;in_168;in_169;in_170
2018.01.01 00:00;1;0;754.9900;733.0100;0.0221;0.0417;0.0300;0.0300;0.00;0.45;0.39;0.00;0.01;55.48;-0.01;0.47;0;0;1.02;0;0;1;0;0;0;0.02;0.41;0.00;0.01;0.02;55.01;-0.05;2.46;0;0;1.02;0;0;1;0;0;0;0.01;0.43;0.13;0.02;0.04;52.55;-0.04;2.18;0;0;0.59;0;0;0;0;0;0;0.02;0.09;0.49;0.01;0.00;50.38;-0.06;2.84;0;0;0.09;0;0;0;0;0;0;0.00;0.35;0.64;-0.01;0.01;47.54;0.00;-0.19;0;0;-0.49;0;0;0;0;0;0;0.08;0.09;0.11;0.01;0.06;59.87;-0.09;5.02;0;0;0.53;0;0;0;0;0;0;-0.07;0.02;0.46;-0.03;-0.10;54.85;0.12;-7.22;0;0;0.06;0;0;0;0;0;0;0.03;0.44;0.12;0.02;0.09;62.07;-0.04;2.43;0;0;0.63;0;0;0;0;0;0;-0.04;0.05;0.63;-0.03;-0.07;59.63;0.07;-4.70;0;0;0.48;0;0;0;0;0;0;-0.01;0.22;0.64;0.02;-0.03;64.33;0.02;-1.52;0;0;0.80;0;0;0;0;0;0;
2018.01.02 00:00;2;0;855.2800;754.9900;0.0079;0.1914;0.1328;0.1328;0.01;0.42;0.10;0.02;0.02;59.25;-0.04;2.13;0;0;1.35;0;0;1;0;0;0;-0.00;0.10;0.78;-0.00;0.01;57.12;0.01;-0.83;0;0;1.08;0;0;1;0;0;0;0.01;0.12;0.60;-0.01;-0.01;57.94;-0.03;1.78;0;0;1.23;0;0;1;0;0;0;-0.01;0.25;0.37;-0.01;0.00;56.16;0.06;-3.30;0;0;1.01;0;0;1;0;0;0;0.02;0.34;0.15;0.03;0.02;59.46;-0.07;3.86;0;0;1.58;0;0;1;0;0;0;0.03;0.18;0.35;0.03;0.07;61.69;-0.03;1.82;0;0;0.79;0;0;0;0;0;0;0.08;0.09;0.11;0.01;0.06;59.87;-0.09;5.02;0;0;0.53;0;0;0;0;0;0;-0.07;0.02;0.46;-0.03;-0.10;54.85;0.12;-7.22;0;0;0.06;0;0;0;0;0;0;0.03;0.44;0.12;0.02;0.09;62.07;-0.04;2.43;0;0;0.63;0;0;0;0;0;0;-0.04;0.05;0.63;-0.03;-0.07;59.63;0.07;-4.70;0;0;0.48;0;0;0;0;0;0;
2018.01.03 00:00;3;0;934.0300;855.1300;0.0528;0.1110;0.0923;0.0923;0.01;0.37;0.52;-0.01;0.03;71.79;-0.01;0.59;1;0;1.62;0;0;1;0;0;0;-0.02;0.18;0.60;0.01;-0.03;71.20;0.07;-4.99;1;0;1.75;0;0;1;0;0;0;0.02;0.04;0.45;0.01;0.01;76.19;-0.03;1.89;1;0;2.25;0;1;0;0;0;0;0.00;0.17;0.78;-0.00;0.01;74.31;-0.00;0.17;1;0;2.37;0;1;0;0;0;0;0.02;0.23;0.25;-0.05;0.09;74.13;-0.03;2.45;1;0;2.83;0;1;0;0;0;0;0.13;0.29;0.04;0.18;0.05;68.95;-0.12;7.25;0;0;2.33;0;1;0;0;0;0;0.03;0.18;0.35;0.03;0.07;61.69;-0.03;1.82;0;0;0.79;0;0;0;0;0;0;0.08;0.09;0.11;0.01;0.06;59.87;-0.09;5.02;0;0;0.53;0;0;0;0;0;0;-0.07;0.02;0.46;-0.03;-0.10;54.85;0.12;-7.22;0;0;0.06;0;0;0;0;0;0;0.03;0.44;0.12;0.02;0.09;62.07;-0.04;2.43;0;0;0.63;0;0;0;0;0;0;
2018.01.04 00:00;4;0;940.0000;934.0300;0.0471;0.0810;0.0064;0.0064;0.02;0.35;0.30;0.01;0.05;78.27;-0.02;1.66;1;0;1.82;0;0;1;0;0;0;0.05;0.32;0.19;0.08;0.06;76.60;-0.07;5.15;1;0;1.79;0;0;1;0;0;0;0.01;0.00;0.81;-0.00;-0.01;71.45;-0.03;1.94;1;0;1.36;0;0;1;0;0;0;-0.01;0.03;0.75;-0.00;-0.04;69.51;0.06;-4.70;0;0;1.28;0;0;1;0;0;0;0.03;0.13;0.04;-0.01;0.00;74.21;-0.05;3.21;1;0;1.61;0;0;1;0;0;0;0.09;0.11;0.32;0.06;0.08;73.23;-0.06;4.28;1;0;2.87;0;1;0;0;0;0;0.13;0.29;0.04;0.18;0.05;68.95;-0.12;7.25;0;0;2.33;0;1;0;0;0;0;0.03;0.18;0.35;0.03;0.07;61.69;-0.03;1.82;0;0;0.79;0;0;0;0;0;0;0.08;0.09;0.11;0.01;0.06;59.87;-0.09;5.02;0;0;0.53;0;0;0;0;0;0;-0.07;0.02;0.46;-0.03;-0.10;54.85;0.12;-7.22;0;0;0.06;0;0;0;0;0;0;
2018.01.05 00:00;5;0;959.3000;940.0000;0.0106;0.1117;0.0205;0.0205;-0.01;0.37;0.46;-0.02;-0.04;66.67;0.04;-3.05;0;0;1.01;0;0;1;0;0;0;-0.04;0.15;0.11;-0.01;0.03;69.72;0.15;-12.35;0;0;1.25;0;0;1;0;0;0;0.04;0.22;0.34;0.06;0.03;82.07;-0.05;3.64;1;0;1.88;0;0;1;0;0;0;0.01;0.00;0.78;0.01;-0.03;78.43;-0.02;1.26;1;0;1.56;0;0;1;0;0;0;0.01;0.24;0.36;0.01;0.02;77.17;-0.02;1.19;1;0;1.56;0;0;1;0;0;0;0.01;0.58;0.37;0.06;0.10;73.53;-0.00;0.30;1;0;2.41;0;1;0;0;0;0;0.09;0.11;0.32;0.06;0.08;73.23;-0.06;4.28;1;0;2.87;0;1;0;0;0;0;0.13;0.29;0.04;0.18;0.05;68.95;-0.12;7.25;0;0;2.33;0;1;0;0;0;0;0.03;0.18;0.35;0.03;0.07;61.69;-0.03;1.82;0;0;0.79;0;0;0;0;0;0;0.08;0.09;0.11;0.01;0.06;59.87;-0.09;5.02;0;0;0.53;0;0;0;0;0;0;
2018.01.06 00:00;6;0;1004.1100;958.0000;0.0084;0.0622;0.0481;0.0481;-0.01;0.28;0.51;-0.00;-0.00;59.81;0.04;-2.51;0;0;0.59;0;0;0;0;0;0;-0.01;0.13;0.69;-0.01;-0.04;62.32;0.04;-2.34;0;0;0.86;0;0;0;0;0;0;-0.01;0.16;0.29;-0.03;0.00;64.66;0.05;-3.21;0;0;1.12;0;0;1;0;0;0;-0.03;0.01;0.42;-0.01;-0.03;67.87;0.11;-8.23;0;0;1.38;0;0;1;0;0;0;0.03;0.33;0.07;0.04;0.08;76.10;-0.03;2.34;1;0;1.93;0;0;1;0;0;0;0.02;0.75;0.09;0.03;0.04;74.52;-0.01;0.99;1;0;2.21;0;1;0;0;0;0;0.01;0.58;0.37;0.06;0.10;73.53;-0.00;0.30;1;0;2.41;0;1;0;0;0;0;0.09;0.11;0.32;0.06;0.08;73.23;-0.06;4.28;1;0;2.87;0;1;0;0;0;0;0.13;0.29;0.04;0.18;0.05;68.95;-0.12;7.25;0;0;2.33;0;1;0;0;0;0;0.03;0.18;0.35;0.03;0.07;61.69;-0.03;1.82;0;0;0.79;0;0;0;0;0;0;
2018.01.07 00:00;0;0;1123.0900;1003.7100;0.0038;0.1208;0.1189;0.1189;-0.01;0.09;0.61;-0.00;0.00;65.06;0.03;-2.02;0;0;0.95;0;0;0;0;0;0;0.00;0.21;0.68;0.01;0.01;67.08;-0.01;0.49;0;0;1.18;0;0;1;0;0;0;0.01;0.08;0.72;0.00;-0.01;66.59;-0.02;1.29;0;0;1.17;0;0;1;0;0;0;0.00;0.51;0.18;0.01;0.04;65.30;-0.01;0.80;0;0;1.07;0;0;1;0;0;0;0.03;0.18;0.15;0.01;0.01;64.49;-0.07;4.18;0;0;1.04;0;0;1;0;0;0;0.05;0.20;0.12;-0.03;0.02;76.69;-0.03;2.18;1;0;2.25;0;1;0;0;0;0;0.02;0.75;0.09;0.03;0.04;74.52;-0.01;0.99;1;0;2.21;0;1;0;0;0;0;0.01;0.58;0.37;0.06;0.10;73.53;-0.00;0.30;1;0;2.41;0;1;0;0;0;0;0.09;0.11;0.32;0.06;0.08;73.23;-0.06;4.28;1;0;2.87;0;1;0;0;0;0;0.13;0.29;0.04;0.18;0.05;68.95;-0.12;7.25;0;0;2.33;0;1;0;0;0;0;
2018.01.08 00:00;1;0;1133.1800;1123.0900;0.1897;0.1034;0.0090;0.0090;0.02;0.04;0.46;0.01;0.01;77.59;-0.03;2.17;1;0;2.07;0;1;0;0;0;0;0.00;0.32;0.61;0.02;0.00;75.42;-0.00;0.35;1;0;1.94;0;0;1;0;0;0;0.01;0.04;0.49;0.00;-0.01;75.07;-0.02;1.77;1;0;2.12;0;1;0;0;0;0;-0.01;0.42;0.33;-0.00;0.03;73.30;0.02;-1.59;1;0;2.07;0;1;0;0;0;0;0.03;0.18;0.36;0.03;0.04;74.89;-0.04;2.87;1;0;2.50;0;1;0;0;0;0;0.12;0.02;0.03;0.11;0.05;81.27;-0.06;4.57;1;0;2.66;0;1;0;0;0;0;0.05;0.20;0.12;-0.03;0.02;76.69;-0.03;2.18;1;0;2.25;0;1;0;0;0;0;0.02;0.75;0.09;0.03;0.04;74.52;-0.01;0.99;1;0;2.21;0;1;0;0;0;0;0.01;0.58;0.37;0.06;0.10;73.53;-0.00;0.30;1;0;2.41;0;1;0;0;0;0;0.09;0.11;0.32;0.06;0.08;73.23;-0.06;4.28;1;0;2.87;0;1;0;0;0;0;
2018.01.09 00:00;2;0;1291.0000;1133.1800;0.0250;0.1706;0.1393;0.1393;-0.02;0.09;0.58;-0.00;0.04;60.00;0.05;-3.04;0;0;0.97;0;0;0;0;0;0;0.09;0.07;0.05;0.01;0.16;63.03;-0.18;9.52;0;0;1.35;0;0;1;0;0;0;-0.07;0.06;0.61;-0.04;-0.13;53.52;0.21;-13.98;0;0;0.16;0;0;0;0;0;0;-0.05;0.03;0.60;-0.03;-0.11;67.49;0.16;-13.25;0;0;1.33;0;0;1;0;0;0;-0.01;0.52;0.30;0.01;0.06;80.74;0.03;-2.87;1;0;2.22;0;1;0;0;0;0;0.01;0.32;0.65;0.10;-0.09;81.60;-0.00;0.33;1;0;2.27;0;1;0;0;0;0;0.12;0.02;0.03;0.11;0.05;81.27;-0.06;4.57;1;0;2.66;0;1;0;0;0;0;0.05;0.20;0.12;-0.03;0.02;76.69;-0.03;2.18;1;0;2.25;0;1;0;0;0;0;0.02;0.75;0.09;0.03;0.04;74.52;-0.01;0.99;1;0;2.21;0;1;0;0;0;0;0.01;0.58;0.37;0.06;0.10;73.53;-0.00;0.30;1;0;2.41;0;1;0;0;0;0;
2018.01.10 00:00;3;0;1247.0000;1291.0000;0.0696;0.1154;-0.0341;-0.0341;0.07;0.29;0.01;0.08;0.01;71.06;-0.10;6.69;1;0;2.01;0;1;0;0;0;0;0.00;0.69;0.17;-0.00;0.06;64.38;-0.01;0.45;0;0;1.18;0;0;1;0;0;0;-0.02;0.07;0.73;-0.03;-0.01;63.93;0.04;-2.98;0;0;1.20;0;0;1;0;0;0;0.01;0.35;0.58;0.03;-0.01;66.90;-0.01;0.54;0;0;1.53;0;0;1;0;0;0;0.01;0.13;0.71;0.01;0.05;66.37;-0.01;0.88;0;0;1.61;0;0;1;0;0;0;0.14;0.16;0.13;0.07;0.21;85.81;-0.05;4.21;1;0;2.64;0;1;0;0;0;0;0.01;0.32;0.65;0.10;-0.09;81.60;-0.00;0.33;1;0;2.27;0;1;0;0;0;0;0.12;0.02;0.03;0.11;0.05;81.27;-0.06;4.57;1;0;2.66;0;1;0;0;0;0;0.05;0.20;0.12;-0.03;0.02;76.69;-0.03;2.18;1;0;2.25;0;1;0;0;0;0;0.02;0.75;0.09;0.03;0.04;74.52;-0.01;0.99;1;0;2.21;0;1;0;0;0;0;
